celebrity,total_mentions
nas,1103.0
pink,289.0
usher,100.0
drake,59.0
will smith,49.0
ron paul,44.0
hillary clinton,41.0
donald trump,39.0
pitbull,21.0
bill gates,15.0
skrillex,15.0
taylor swift,13.0
kaka,13.0
bono,13.0
brad pitt,12.0
kanye west,10.0
rihanna,8.0
tom cruise,8.0
michael jordan,7.0
tony hawk,7.0
emma watson,6.0
usain bolt,6.0
chris brown,6.0
madonna,6.0
adam sandler,6.0
chris paul,5.0
lady gaga,5.0
bruno mars,5.0
charlie sheen,5.0
jim carrey,5.0
dalai lama,5.0
scarlett johansson,5.0
lil wayne,4.0
lebron james,4.0
katy perry,4.0
george clooney,4.0
magic johnson,4.0
justin beiber,4.0
britney spears,4.0
snoop dog,4.0
miley cyrus,4.0
nicki minaj,4.0
kim kardashian,3.0
johnny depp,3.0
channing tatum,3.0
adele,3.0
jayz,3.0
ben affleck,3.0
j.k. rowling,3.0
andrew garfield,3.0
conan o'brien,2.0
jackie chan,2.0
ashton kutcher,2.0
calvin harris,2.0
tim ferriss,2.0
gwen stefani,2.0
alicia keys,2.0
angelina jolie,2.0
kobe bryant,2.0
ed sheeran,2.0
bradley cooper,2.0
mark manson,2.0
jimmy fallon,2.0
leonardo dicaprio,2.0
lindsay lohan,2.0
blake griffin,2.0
neil patrick harris,2.0
mila kunis,2.0
natalie portman,2.0
jared leto,2.0
barak obama,1.0
matt damon,1.0
mark sisson,1.0
carmelo anthony,1.0
wiz khalifa,1.0
jessica alba,1.0
kevin durant,1.0
chelsea handler,1.0
amanda bynes,1.0
russell westbrook,1.0
halle berry,1.0
deepak chopra,1.0
jennifer anniston,1.0
sandra bullock,1.0
christina aguilera,1.0
gareth bale,1.0
nick szabo,1.0
william shatner,1.0
justin timberlake,1.0
yuya,1.0
thiago silva,1.0
marshall mathers,1.0
david guetta,1.0
will ferrell,1.0
vernon davis,1.0
brooke shields,1.0
serena williams,1.0
ryan seacrest,1.0
robert downey jr,1.0
keith urban,1.0
robb wolf,1.0
brett mckay,1.0
