celebrity,total_mentions
nas,2219.0
pink,627.0
usher,183.0
drake,132.0
ron paul,91.0
hillary clinton,50.0
will smith,50.0
donald trump,48.0
bono,32.0
pitbull,28.0
bill gates,26.0
kaka,24.0
brad pitt,23.0
taylor swift,22.0
skrillex,22.0
kanye west,19.0
dalai lama,16.0
michael jordan,15.0
rihanna,14.0
lady gaga,14.0
tom cruise,14.0
tony hawk,14.0
lebron james,13.0
katy perry,12.0
emma watson,11.0
george clooney,11.0
madonna,11.0
adam sandler,10.0
usain bolt,9.0
chris brown,9.0
britney spears,9.0
adele,8.0
jimmy fallon,8.0
nicki minaj,8.0
chris paul,7.0
kobe bryant,7.0
charlie sheen,7.0
jim carrey,7.0
miley cyrus,7.0
magic johnson,7.0
justin beiber,7.0
lil wayne,7.0
john mayer,7.0
snoop dog,6.0
kim kardashian,6.0
bruno mars,6.0
scarlett johansson,6.0
paris hilton,6.0
kevin durant,6.0
jackie chan,5.0
will ferrell,5.0
mark manson,5.0
trent reznor,4.0
tim ferriss,4.0
wiz khalifa,4.0
johnny depp,4.0
angelina jolie,4.0
neil patrick harris,4.0
ed sheeran,4.0
justin timberlake,4.0
david guetta,4.0
channing tatum,4.0
ryan seacrest,4.0
ben affleck,4.0
calvin harris,3.0
yuya,3.0
alicia keys,3.0
selena gomez,3.0
jayz,3.0
mila kunis,3.0
rupert grint,3.0
andrew garfield,3.0
conan o'brien,3.0
david beckham,3.0
russell westbrook,3.0
jared leto,3.0
lindsay lohan,3.0
ashton kutcher,3.0
robert downey jr,3.0
j.k. rowling,3.0
yoko ono,2.0
jessica alba,2.0
zac efron,2.0
nick cannon,2.0
vernon davis,2.0
blake griffin,2.0
leonardo dicaprio,2.0
christina aguilera,2.0
matt damon,2.0
carmelo anthony,2.0
daniel radcliffe,2.0
thiago silva,2.0
gwen stefani,2.0
will.i.am,2.0
amanda bynes,2.0
bradley cooper,2.0
natalie portman,2.0
marshall mathers,2.0
simon cowell,2.0
halle berry,2.0
william shatner,2.0
ludacris,2.0
nick szabo,1.0
ricky martin,1.0
mark sisson,1.0
anne hathaway,1.0
ben savage,1.0
jennifer lopez,1.0
blake lively,1.0
robb wolf,1.0
joseph gordon-levitt,1.0
ray william johnson,1.0
dwayne johnson,1.0
serena williams,1.0
edward norton,1.0
tyra banks,1.0
daniel tosh,1.0
leo messi,1.0
sandra bullock,1.0
robin sharma,1.0
andrew sullivan,1.0
david cain,1.0
kelly clarkson,1.0
keith urban,1.0
ellen degeneres,1.0
brett mckay,1.0
deepak chopra,1.0
kevin hart,1.0
gareth bale,1.0
hillary duff,1.0
barak obama,1.0
ryan higa,1.0
adam levine,1.0
chelsea handler,1.0
brooke shields,1.0
jennifer anniston,1.0
