celebrity,total_mentions
nas,8713.0
pink,3021.0
usher,689.0
drake,621.0
ron paul,432.0
pitbull,195.0
kaka,189.0
bono,154.0
skrillex,128.0
taylor swift,100.0
bill gates,97.0
madonna,89.0
brad pitt,85.0
kanye west,82.0
donald trump,75.0
hillary clinton,66.0
lebron james,62.0
lady gaga,61.0
michael jordan,56.0
snoop dog,55.0
katy perry,52.0
miley cyrus,52.0
lil wayne,50.0
adele,48.0
adam sandler,45.0
dalai lama,44.0
usain bolt,43.0
tom cruise,41.0
emma watson,36.0
nicki minaj,36.0
rihanna,34.0
george clooney,34.0
johnny depp,34.0
angelina jolie,32.0
britney spears,32.0
tony hawk,31.0
chris brown,30.0
chris paul,28.0
justin beiber,28.0
matt damon,26.0
kim kardashian,26.0
will smith,26.0
ben affleck,25.0
paris hilton,25.0
kobe bryant,25.0
jackie chan,23.0
jim carrey,22.0
natalie portman,22.0
mark manson,22.0
kevin durant,21.0
john mayer,21.0
blake griffin,21.0
will ferrell,20.0
jimmy fallon,20.0
charlie sheen,19.0
justin timberlake,18.0
channing tatum,18.0
mila kunis,18.0
scarlett johansson,18.0
leonardo dicaprio,17.0
bradley cooper,16.0
wiz khalifa,16.0
vernon davis,15.0
robert downey jr,14.0
thiago silva,13.0
bruno mars,13.0
avril lavigne,13.0
neil patrick harris,12.0
lindsay lohan,12.0
sandra bullock,11.0
william shatner,11.0
magic johnson,11.0
j.k. rowling,11.0
ariana grande,11.0
edward norton,11.0
jennifer lopez,11.0
ludacris,10.0
ashton kutcher,10.0
dwyane wade,10.0
anne hathaway,10.0
david guetta,10.0
trent reznor,9.0
colin kaepernick,9.0
halle berry,9.0
andrew garfield,9.0
david luiz,9.0
conan o'brien,9.0
jared leto,9.0
shakira,9.0
steve pavlina,9.0
amanda bynes,8.0
daniel tosh,8.0
ed sheeran,8.0
bella thorne,8.0
john legend,7.0
mariah carey,7.0
harry styles,7.0
michelle obama,7.0
ellen degeneres,7.0
yuya,7.0
selena gomez,6.0
deepak chopra,6.0
milo yiannopoulos,6.0
tynan,5.0
oprah winfrey,5.0
dani alves,5.0
kylie jenner,5.0
dwayne johnson,5.0
demi lovato,5.0
daniel radcliffe,5.0
joseph gordon-levitt,5.0
gareth bale,5.0
russell westbrook,5.0
will.i.am,4.0
kelly clarkson,4.0
victoria beckham,4.0
tim ferriss,4.0
zac efron,4.0
narendra modi,4.0
simon cowell,4.0
marshall mathers,4.0
norman reedus,4.0
yoko ono,4.0
jessica alba,4.0
adam levine,4.0
serena williams,4.0
ryan seacrest,4.0
victoria justice,3.0
carmelo anthony,3.0
carly rae jepsen,3.0
amy adams,3.0
david beckham,3.0
gwen stefani,3.0
zendaya,3.0
jayz,3.0
robb wolf,3.0
jason derulo,3.0
calvin harris,3.0
christina aguilera,3.0
alicia keys,3.0
blake lively,3.0
andrew sullivan,2.0
brian kelly,2.0
ramit sethi,2.0
jennifer anniston,2.0
kate hudson,2.0
nick cannon,2.0
gisele bundchen,2.0
michelle malkin,2.0
meghan trainor,2.0
shay mitchell,2.0
chelsea handler,2.0
paulo coelho,2.0
jeff garzik,2.0
reese witherspoon,2.0
penelope trunk,2.0
pat flynn,2.0
andres iniesta,2.0
jenna marbles,2.0
blake shelton,2.0
ryan holiday,2.0
rachel mcadams,2.0
kevin hart,2.0
leon ho,2.0
nick szabo,2.0
marc andreessen,2.0
mark sisson,2.0
luke bryan,2.0
rebel wilson,2.0
gabby douglas,2.0
adrian grenier,1.0
ashlee simpson,1.0
ryan higa,1.0
ray william johnson,1.0
khloe kardashian,1.0
tyra banks,1.0
dave asprey,1.0
miranda cosgrove,1.0
salman khan,1.0
beppe grillo,1.0
juanes,1.0
barak obama,1.0
chris dixon,1.0
rupert grint,1.0
hillary duff,1.0
nicole richie,1.0
danielle fishel,1.0
keith urban,1.0
nick jonas,1.0
vanessa hudgens,1.0
franchesca ramsey,1.0
robin sharma,1.0
karlie kloss,1.0
kendall jenner,1.0
christiano ronaldo,1.0
ryan sheckler,1.0
tina su,1.0
fred armisen,1.0
zayn malik,1.0
priyanka chopra,1.0
mark walberg,1.0
nathan kress,1.0
amber rose,1.0
eva longoria,1.0
solange knowles,1.0
